busca,titulo,empresa,local,publicado_ha,salario
analista de dados,CAS | Analista de Prevenção a Fraudes Pleno - Foco em Estratégia e Dados,Sicredi,Trabalho remoto,5 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Banco de Dados Jr,CALLFLEX SISTEMAS DIGITAIS LTDA,"São Paulo, São Paulo",mais de 30 dias,R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Atendimento Pleno,Líber,Trabalho remoto,3 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa)
analista de dados,Analista De Dados,D'PAULA INDÚSTRIA E COMÉRCIO LTDA,Barueri,26 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Pessoa Analista de Dados Pleno {QlikView},A3Data,Trabalho remoto,4 dia(s),R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Dados Sênior,Bridge & Co.,Trabalho remoto,mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Grupo Nolasco,Magé,13 dia(s),R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr,"Zeny Eletrificação Rural, Urbana e Energia fotovoltaica",Juiz de Fora,6 dia(s),R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Dados Pleno,Listo,Trabalho remoto,mais de 30 dias,R$ 10 mil (fornecido pela empresa)
analista de dados,Analista de testes - Pleno,DOT Group,Trabalho remoto,19 dia(s),R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Dados - Edital 09/2025,FUNDACAO DE DESENVOLVIMENTO CIENTIFICO E CULTURAL,"Lavras, Minas Gerais",4 dia(s),R$ 2 mil (fornecido pela empresa)
analista de dados,Pessoa Analista de Dados Pleno,Akross,Trabalho remoto,5 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de dados jr,Netvagas,Trabalho remoto,4 dia(s),R$ 4 mil - R$ 7 mil (fornecido pela empresa)
analista de dados,5728: Analista de Dados/BI Jr.,mazzatech,"São Paulo, São Paulo",17 dia(s),R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Requisitos,DOT Group,Trabalho remoto,28 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados,GRUPO CRB,"Belo Horizonte, Minas Gerais",5 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados Pleno,Comerc Energia,Trabalho remoto,mais de 30 dias,R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados,iLean Gestão de Resultados,Vespasiano,6 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Banco de Dados,TO Brasil,Trabalho remoto,24 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Operações Júnior,Intera,Trabalho remoto,18 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,18C2: Analista de Dados Sênior,mazzatech,Trabalho remoto,17 dia(s),R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Sucesso do Cliente Jr. (Planejamento),Omie,Trabalho remoto,4 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS JR #1040,RHF Estadual Campinas – Parque Prado/SP,"Campinas, São Paulo",3 dia(s),R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr - Flytour Business Travel - BeFly,BeFly,"São Paulo, São Paulo",6 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados | BI,Animal Marketing,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados Junior,GRUPO CARRERA,"São Paulo, São Paulo",mais de 30 dias,R$ 6 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS,Associacao Adventista Norte Brasileira de Prevencao e Assistencia a Saude,"Belém, Pará",24 dia(s),R$ 10 mil (fornecido pela empresa)
analista de dados,Analista de Dados - Power BI,Target Sistemas,"São Paulo, São Paulo",11 dia(s),R$ 2 mil - R$ 10 mil (fornecido pela empresa)
analista de dados,Analista de Dados Sr.,Medway,Trabalho remoto,10 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,ANALISTA DE DADOS JÚNIOR,INCICLE SISTEMAS,"São José dos Campos, São Paulo",2 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Powe BI Jr,TOPMIND,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados | Junior,Quero Educação,"São José dos Campos, São Paulo",mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de BI e Dados,norte marketing,"São Paulo, São Paulo",7 dia(s),R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Hospital Ernesto Dornelles,Porto Alegre,24h,R$ 7 mil (fornecido pela empresa)
analista de dados,Pessoa Analista de Suporte em Licitações,Effecti,Trabalho remoto,mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados - BI,EGE SOLUCOES LTDA,Jundiaí,mais de 30 dias,R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista Comercial - Atendimento Veículos,Itaú Unibanco,Trabalho remoto,17 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,ANALISTA DE COMPRAS SÊNIOR - HOME OFFICE - 91228,Divulga Vagas Consultoria,Itu,3 dia(s),R$ 6 mil - R$ 7 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Anjos Business,Alphaville,24 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Youdata,"São Paulo, São Paulo",12 dia(s),R$ 20 mil (fornecido pela empresa)
analista de dados,Analista de Dados Júnior,Credits Brasil Gestão e Inteligência de Dados,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista Ambiental Junior - Relacionamento com a Comunidade,Clam,Trabalho remoto,2 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Crédito - FOCO em DADOS - Florianópolis/SC,Transpocred,Trabalho remoto,24h,R$ 8 mil (fornecido pela empresa)
analista de dados,Assistente / Analista de Atendimento,CREFISA E EMPRESAS PARCEIRAS,Caicó,mais de 30 dias,R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de dados,Loccitane au Bresil,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil - R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Integrações e Inteligência de Dados,D2W,"Piracicaba, São Paulo",25 dia(s),R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Atendimento Júnior,Serasa Experian,"São Carlos, São Paulo",5 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados Jr,Express Log,"Campinas, São Paulo",26 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Dados & Indicadores Senior,Digisystem,Trabalho remoto,24h,R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Dados Pl,Cibra,Trabalho remoto,4 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista/consultor de Negócios - Caieiras/ SP,CREFISA E EMPRESAS PARCEIRAS,Caieiras,mais de 30 dias,R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Dados,IMPLY TECNOLOGIA ELETRÔNICA,Santa Cruz do Sul,2 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Viabilidade - Orçamentos,Seazone,Trabalho remoto,5 dia(s),R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Dados,LLZ GARANTIDORA,"Belo Horizonte, Minas Gerais",24 dia(s),R$ 5 mil - R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Dados,Simas Logística,Vespasiano,6 dia(s),R$ 3 mil (fornecido pela empresa)
analista de dados,Analista de Suporte Junior,Inbrands,"São Paulo, São Paulo",4 dia(s),R$ 9 mil (fornecido pela empresa)
analista de dados,Analista de Dados/BI Jr,DIGITIZEI INFORMATICA LTDA,"São Paulo, São Paulo",mais de 30 dias,R$ 6 mil - R$ 8 mil (fornecido pela empresa)
analista de dados,Analista de Projetos III,Grupo Boticário,Trabalho remoto,6 dia(s),R$ 4 mil - R$ 5 mil (fornecido pela empresa)
analista de dados,Analista de Threat Intelligence (foco em MISP),#VEMPRAIT4US,Trabalho remoto,24h,R$ 2 mil (fornecido pela empresa)
analista de dados,Analista de Dados (Martech),WEBJUMP,Trabalho remoto,11 dia(s),R$ 5 mil - R$ 6 mil (fornecido pela empresa)
analista de dados,Analista de Dados Sr,Pmweb,Trabalho remoto,4 dia(s),R$ 4 mil (fornecido pela empresa)
analista de dados,Analista de Dados Pleno(a) - QlikSense,BIX Tecnologia - Consultoria de Dados,Trabalho remoto,mais de 30 dias,R$ 6 mil (fornecido pela empresa)
