busca,titulo,empresa,local,publicado_ha,salario
cientista de dados,Analista de Engenharia Machine Learning Sênior,Sauter,"São Paulo, São Paulo",5 dia(s),Não informado
cientista de dados,Desenvolvedor(a) de IA | Python | Machine Learning,SIEG SOLUCOES INTELIGENTES LTDA,"Recife, Pernambuco",mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist,Risk Solutions,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist,Shape Digital,Trabalho remoto,mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist,RELX,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Analista de dados sênior - crm e growth,Netvagas,"São Paulo, São Paulo",5 dia(s),Não informado
cientista de dados,Desenvolvedor(a) de Machine Learning para Microcontroladores (CLT | Presencial),Henry Equipamentos Eletrônicos e Sistemas Ltda,São José dos Pinhais,13 dia(s),Não informado
cientista de dados,Analista de Dados e Melhoria Contínua Sênior,Shopee,"São Paulo, São Paulo",12 dia(s),Não informado
cientista de dados,Analista de Dados Sênior (Inteligência Artificial) - Curitiba PR,BRF,Curitiba,23 dia(s),Não informado
cientista de dados,Analista de dados pleno (reports) | belo horizonte - mg,Netvagas,"Belo Horizonte, Minas Gerais",10 dia(s),Não informado
cientista de dados,Desenvolvedor de Machine Learning SR,IDS DESENVOLVIMENTO DE SOFTWARE,Pato Branco,12 dia(s),Não informado
cientista de dados,Analista de dados - planejamento vendas pl,Netvagas,"Santo André, São Paulo",3 dia(s),Não informado
cientista de dados,9260574 - Analista de Dados Sênior,MTP Métodos e Tecnologia – Brasil,"São Paulo, São Paulo",30 dia(s),Não informado
cientista de dados,Data Scientist,Qualysoft,Rondônia,11 dia(s),Não informado
cientista de dados,Data Scientist,AE Studio,"Florianópolis, Santa Catarina",mais de 30 dias,Não informado
cientista de dados,Data Scientist,Enter,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Data Scientist,Trustly,"Vitória, Espírito Santo",mais de 30 dias,Não informado
cientista de dados,Data Scientist,amaris,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
cientista de dados,Data Scientist Especialista | Marketing Analytics,DP6,"São Paulo, São Paulo",26 dia(s),Não informado
cientista de dados,Grupo QuintoAndar | Senior Data Scientist,Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado
cientista de dados,Estágio em Business Intelligence (2x presencial | Inteligência Comercial | BI | Business Intelligence | Revenue Ops | Analista de Dados | Engenharia de Produção),PariPassu Aplicativos Especializados,"Florianópolis, Santa Catarina",18 dia(s),Não informado
cientista de dados,Senior Data Scientist - Afirmativa para Mulheres,Neon Pagamentos,Trabalho remoto,11 dia(s),Não informado
cientista de dados,Data Scientist Senior - REMOTE WORK,BairesDev,"Sorocaba, São Paulo",mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist,Semantix,"São Paulo, São Paulo",5 dia(s),Não informado
cientista de dados,Senior Data Scientist - Experimentation,Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Data Scientist SR,Keyrus Brazil,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist,Louis Dreyfus Company,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Field Data Scientist,OfferFit,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist - Remote Work,BairesDev,"Sorocaba, São Paulo",mais de 30 dias,Não informado
cientista de dados,Analista de Dados (marketing) - Sênior,Serhum Consultoria em RH,"São Luís, Maranhão",17 dia(s),Não informado
cientista de dados,Sr Data Scientist,Topaz Brasil,Indaiatuba,mais de 30 dias,Não informado
cientista de dados,Desenvolvedor Machine Learning,YAPP,"Belo Horizonte, Minas Gerais",mais de 30 dias,Não informado
cientista de dados,Analista de dados sênior - people analytics | gente e gestão,Netvagas,Uberlândia,3 dia(s),Não informado
cientista de dados,Data Scientist (Mid-Senior),Capgemini Engineering,"Colombo, Paraná",mais de 30 dias,Não informado
cientista de dados,Analista de Dados (Exclusiva para Pessoas com Deficiência),Hotmart,"Belo Horizonte, Minas Gerais",mais de 30 dias,Não informado
cientista de dados,Data Scientist - Log,Sioux digital 1:1,"Campinas, São Paulo",mais de 30 dias,Não informado
cientista de dados,Data Scientist | Business Development,Shopee,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Data Scientist III com ênfase em MLOps,e-Core,Trabalho remoto,mais de 30 dias,Não informado
cientista de dados,Senior Data Scientist,Topsort,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Data Scientist Sênior,Hotmart,"Belo Horizonte, Minas Gerais",27 dia(s),Não informado
cientista de dados,1675 SPECIALIST DATA SCIENTIST (21138),A PRIORI EXCELÊNCIA EM RECURSOS HUMANOS,Curitiba,mais de 30 dias,Não informado
cientista de dados,Desenvolvedor Sênior (Foco IA e Machine Learning) | Codex Utilities | Squad de Produto,Shockwave | Projeto Kaffa Essentials by Codex Utilities,"São José dos Campos, São Paulo",27 dia(s),Não informado
cientista de dados,IT Analyst II - (Global Tech Hub - Data Scientist AIOps),520 F1RST TECNOLOGIA E INOVACAO LTDA.,"São Paulo, São Paulo",mais de 30 dias,Não informado
cientista de dados,Data Scientist - Tech Lead Sr,Cayena,Trabalho remoto,mais de 30 dias,Não informado
data scientist,"Data Science Specialist, Brazil",3M,"Sumaré, São Paulo",mais de 30 dias,R$ 6 mil (fornecido pela empresa)
data scientist,Data Scientist III,Banco Bradesco SA,Osasco,13 dia(s),"R$ 65,00 por hora (fornecido pela empresa)"
data scientist,Junior Data Scientist - QuantumBlack,McKinsey & Company,"São Paulo, São Paulo",mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa)
data scientist,Operational Research Data Scientist | Senior,Compass UOL,Trabalho remoto,12 dia(s),R$ 50 mil - R$ 59 mil (fornecido pela empresa)
data scientist,DATA SCIENTIST,SeedTS,Trabalho remoto,mais de 30 dias,R$ 12 mil - R$ 15 mil (fornecido pela empresa)
data scientist,"Intern - Data Scientist, Curves",Argus Media,"São Paulo, São Paulo",11 dia(s),R$ 17 mil - R$ 18 mil (fornecido pela empresa)
data scientist,Data Scientist - QuantumBlack,McKinsey & Company,"São Paulo, São Paulo",mais de 30 dias,R$ 5 mil (fornecido pela empresa)
data scientist,Data Scientist (Credit),Revolut,"São Paulo, São Paulo",mais de 30 dias,R$ 65 mil - R$ 100 mil (fornecido pela empresa)
data scientist,Data Scientist - Remote Work,BairesDev,"Sorocaba, São Paulo",mais de 30 dias,R$ 90 mil - R$ 110 mil (fornecido pela empresa)
data scientist,Data Scientist - Pleno,VENHA SER #SANGUELARANJA,Trabalho remoto,4 dia(s),R$ 100 mil (fornecido pela empresa)
data scientist,"Data Scientist, Brazil - BCG X",Boston Consulting Group,"São Paulo, São Paulo",mais de 30 dias,R$ 102 mil - R$ 170 mil (fornecido pela empresa)
data scientist,Trainee Data Science | Data Masters DP6,DP6,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist,Bunge,"São Paulo, São Paulo",4 dia(s),Não informado
data scientist,DATA SCIENTIST,Zurich Insurance,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,Beyond Pricing,Trabalho remoto,mais de 30 dias,Não informado
data scientist,"Data Scientist, Curves",Argus Media,"São Paulo, São Paulo",11 dia(s),Não informado
data scientist,"Staff Data Scientist, Risk",Brex,"São Paulo, São Paulo",26 dia(s),Não informado
data scientist,STEM Specialist (Fluent in Portuguese – Brazil) – AI Trainer,Invisible Agency,"São Paulo, São Paulo",16 dia(s),Não informado
data scientist,Staff Data Scientist,Loft,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Data Scientist, Marketing",Brex,"São Paulo, São Paulo",17 dia(s),Não informado
data scientist,Data Scientist / Machine Learning Engineer / Research Software Engineer,Solfácil,Trabalho remoto,16 dia(s),Não informado
data scientist,Customer Data Scientist,h2o.ai,Osasco,11 dia(s),Não informado
data scientist,Diversidade - Inclusão de Pessoas com Deficiência,Nubank,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist | MID,Compass UOL,Trabalho remoto,20 dia(s),Não informado
data scientist,Data Scientist,Sensor Tower,Trabalho remoto,mais de 30 dias,Não informado
data scientist,SR Data Scientist,Zallpy Digital,Trabalho remoto,5 dia(s),Não informado
data scientist,Food Scientist I,ICL Group,"São José dos Campos, São Paulo",3 dia(s),Não informado
data scientist,Data Scientist - Qualified Pipeline,Data Meaning,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Data Scientist,A3Data,Rio do Prado,mais de 30 dias,Não informado
data scientist,Sr. Data Scientist (Application Development),Thermo Fisher Scientific,"São Paulo, São Paulo",18 dia(s),Não informado
data scientist,Data Scientist Senior - Remote,BairesDev,"Sorocaba, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,Semantix,"São Paulo, São Paulo",5 dia(s),Não informado
data scientist,Senior Data Scientist - Afirmativa para Mulheres,Neon Pagamentos,Trabalho remoto,11 dia(s),Não informado
data scientist,Data Scientist 2 (English speaking),Hyland Software,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Junior Data Engineer - QuantumBlack,McKinsey & Company,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior data scientist,Netvagas,Trabalho remoto,2 dia(s),Não informado
data scientist,Data Scientist,amaris,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,Alignment Data Scientist,AE Studio,"Florianópolis, Santa Catarina",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,RELX,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Engineer - QuantumBlack,McKinsey & Company,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist,Trustly,"Vitória, Espírito Santo",mais de 30 dias,Não informado
data scientist,Senior Data Scientist - Remote Work,BairesDev,"Sorocaba, São Paulo",mais de 30 dias,Não informado
data scientist,Business Analyst & Data Annotator,Provectus,Rio Grande do Sul,13 dia(s),Não informado
data scientist,Data Scientist (Cientista de Dados Pleno),Dadosfera Brasil,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Risk Management Specialist - Model Risk Data Science and AI Models,Nubank,Brasil,20 dia(s),Não informado
data scientist,Data Warehouse Engineer,Greentree Capital,Trabalho remoto,8 dia(s),Não informado
data scientist,[Ambev Global Tech] Data Scientist,Ambev Tech,"Campinas, São Paulo",mais de 30 dias,Não informado
data scientist,Data Engineer,Pantheon,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Data Scientist,Qualysoft,Rondônia,11 dia(s),Não informado
data scientist,Data Engineer,Pantheon,Trabalho remoto,mais de 30 dias,Não informado
data scientist,"2025 Graduate Software Engineer I Mobile, Brazil",Uber,"São Paulo, São Paulo",24h,Não informado
data scientist,Senior Data Scientist - Experimentation,Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Scientist, Senior",Infor,Trabalho remoto,18 dia(s),Não informado
data scientist,Senior Data Scientist,Shape Digital,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Sr Data Scientist,Topaz Brasil,Indaiatuba,mais de 30 dias,Não informado
data scientist,Analista Modelagem e Riscos de Liquidez,Banco Bradesco SA,Osasco,24h,Não informado
data scientist,"Latam Data Analytics Engineer, Khan Academy Brazil",Khan Academy,"São Paulo, São Paulo",3 dia(s),Não informado
data scientist,Senior Data Scientist,Cognizant,"São Paulo, São Paulo",20 dia(s),Não informado
data scientist,Data Scientist SR,Keyrus Brazil,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist (Mid-Senior),Capgemini Engineering,"Colombo, Paraná",mais de 30 dias,Não informado
data scientist,Sr Data Scientist (Fraud),RecargaPay,Trabalho remoto,mais de 30 dias,Não informado
data scientist,FBS Associate Data Scientist,Capgemini,Trabalho remoto,19 dia(s),Não informado
data scientist,Data Engineer,Chiliz,Mato Grosso,mais de 30 dias,Não informado
data scientist,Field Data Scientist,OfferFit,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist,Zicasso,Trabalho remoto,11 dia(s),Não informado
data scientist,Data Engineer - Remote Work,BairesDev,"Duque de Caxias, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,Senior Data Base Engineer,"WatchGuard Technologies, Inc.",Trabalho remoto,mais de 30 dias,Não informado
data scientist,Data Scientist | Business Development,Shopee,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist III com ênfase em MLOps,e-Core,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Data Engineer - Marketing,Kimberly-Clark,"São Paulo, São Paulo",26 dia(s),Não informado
data scientist,Senior Scientist (LLM/NLP/Deep Learning),Uber,"São Paulo, São Paulo",5 dia(s),Não informado
data scientist,Data Scientist Sênior,Hotmart,"Belo Horizonte, Minas Gerais",27 dia(s),Não informado
data scientist,Social Media Coordinator,High 5 Games,Trabalho remoto,28 dia(s),Não informado
data scientist,Data Scientist - Forecasting,Sioux digital 1:1,"Campinas, São Paulo",mais de 30 dias,Não informado
data scientist,Data Scientist with LLMs - BR-Sao Paulo - Senior Level-,Globant,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Engineer | Partners Content,Wellhub,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Engineer,SuperSummary,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,Xometry,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Product Manager (LatAm),CIAL Dun & Bradstreet,"São Paulo, São Paulo",19 dia(s),Não informado
data scientist,Director of Data,Time Doctor,Trabalho remoto,mais de 30 dias,Não informado
data scientist,"Data Analyst, Go-Live",Riskified,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Cientista de Dados I,Bunge,Gaspar,5 dia(s),Não informado
data scientist,Applied Scientist II (Payments),Uber,"São Paulo, São Paulo",26 dia(s),Não informado
data scientist,Fraud Data Analyst,Riskified,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,FBS Associate Decision Scientist,Capgemini,Trabalho remoto,10 dia(s),Não informado
data scientist,SAP iXp Intern-Business Intelligence Data Scientist,SAP,"São Leopoldo, Rio Grande do Sul",10 dia(s),Não informado
data scientist,"2025 Applied Scientist internship, Brazil",Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Bakery Enzymes Application Scientist,International Flavors & Fragrances,"Castelo, Espírito Santo",mais de 30 dias,Não informado
data scientist,Cybersecurity Expert,Siemens Healthineers,"São Paulo, São Paulo",4 dia(s),Não informado
data scientist,Petrophysics Scientist,Halliburton,"Rio de Janeiro, Rio de Janeiro",16 dia(s),Não informado
data scientist,Research Engineer / Scientist,Avra,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,1675 SPECIALIST DATA SCIENTIST (21138),A PRIORI EXCELÊNCIA EM RECURSOS HUMANOS,Curitiba,mais de 30 dias,Não informado
data scientist,Business Analyst Intern,McKinsey & Company,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,Risk Solutions,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,Topsort,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Semi Senior ETL / Data Engineering - Remote Work,BairesDev,"Duque de Caxias, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,"Manager II, Data Engineering - Delivery",Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Engineer,Halliburton,"Rio de Janeiro, Rio de Janeiro",7 dia(s),Não informado
data scientist,Cientista de Dados,MIRANTE TECNOLOGIA,"Brasília, Distrito Federal",13 dia(s),Não informado
data scientist,Grupo QuintoAndar | Senior Data Scientist,Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Data Scientist,Enter,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Arquiteto Data & AI PL / SR,CODE GROUP,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Data Engineer GCP,Amaris Consulting,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Tech Lead | Data Solutions,Wellhub,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Hadoop Data Engineer (Big Data Developer),ExxonMobil,Curitiba,2 dia(s),Não informado
data scientist,Data Engineer,amaris,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,Senior Data Scientist,Louis Dreyfus Company,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Manager, Visa Consulting and Analytics, Data Services Practice",Visa,"São Paulo, São Paulo",14 dia(s),Não informado
data scientist,Data Scientist - Tech Lead Sr,Cayena,Trabalho remoto,mais de 30 dias,Não informado
data scientist,"Director, Regulatory Affairs",Argenx,Trabalho remoto,19 dia(s),Não informado
data scientist,Lead Data Manager for Clinical Trials,PSI CRO,"São Paulo, São Paulo",7 dia(s),Não informado
data scientist,R&D Prod Dev Assoc Manager,PepsiCo,"Sorocaba, São Paulo",mais de 30 dias,Não informado
data scientist,FBS Associate Decision Scientist,Capgemini,"São Paulo, São Paulo",3 dia(s),Não informado
data scientist,Manager Data Solutions - Focus Artificial Intelligence,4flow,"Campinas, São Paulo",6 dia(s),Não informado
data scientist,Engenheiro de Nuvem - BI/Analytics/IA,Digisystem,"Brasília, Distrito Federal",3 dia(s),Não informado
data scientist,Cientista de Dados - Pleno,MANFING SOFTWARE LTDA,"Toledo, Paraná",mais de 30 dias,Não informado
data scientist,Engenheiro de Dados II,Bunge,"São Paulo, São Paulo",4 dia(s),Não informado
data scientist,Artificial Intelligence Architect,dLocal,Trabalho remoto,mais de 30 dias,Não informado
data scientist,IT Analyst II - (Global Tech Hub - Data Scientist AIOps),520 F1RST TECNOLOGIA E INOVACAO LTDA.,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Freelance Python Developer (Remote, South / Latin America)",VT Enterprise,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Python Developer,BRP,"Campinas, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Data Analytics Engineer,International Flavors & Fragrances,"Castelo, Espírito Santo",mais de 30 dias,Não informado
data scientist,Sales Excellence COE - Online Tools - Data Visualization Specialist,Accenture,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Quantitative UX Researcher,Google,"São Paulo, São Paulo",20 dia(s),Não informado
data scientist,Engineering Manager (Data),Plain Concepts,Rondônia,mais de 30 dias,Não informado
data scientist,Senior Data Engineer - Sao Paulo,Topsort,"São Paulo, São Paulo",5 dia(s),Não informado
data scientist,Business Analytics,DP6,"São Paulo, São Paulo",20 dia(s),Não informado
data scientist,Build at Bain: GenAI Masterclass,Bain & Company Inc,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,QA Engineer,techco.lab,Curitiba,mais de 30 dias,Não informado
data scientist,Senior Data & Analytics Engineer,BRP,"Campinas, São Paulo",28 dia(s),Não informado
data scientist,AI/ML Engineer (LATAM),Proximity Works,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Mechanical CADD Technician,Moffatt & Nichol,"Rio de Janeiro, Rio de Janeiro",26 dia(s),Não informado
data scientist,Senior Python - GO Engineer - AI/ML,3Pillar,Rondônia,mais de 30 dias,Não informado
data scientist,Machine Learning Engineer,OpsBrasil Serviços Cloud LTDA,"São Paulo, São Paulo",19 dia(s),Não informado
data scientist,Senior Machine Learning Engineer,Shape Digital,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Senior Machine Learning Ops Engineer,dLocal,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Pessoa Engenheira de Machine Learning Sênior,Serasa Experian,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Director - Principal Research Scientist - AI & Optimization,Franklin Templeton Investments,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Software Engineer II (Golang),SumUp,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Operations Research / Optimization 10x Engineer,SFR3,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Analytics Engineer - Brazil,DoorDash Brazil,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Grupo QuintoAndar | Data Engineer Specialist,Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Data Architect (Trading),Keyrock,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Ger Engenheiro de Dados,Bunge,"São Paulo, São Paulo",6 dia(s),Não informado
data scientist,Middle/Senior ML Engineer,Provectus,Rio Grande do Sul,mais de 30 dias,Não informado
data scientist,Product Manager II (Identity team),Uber,"São Paulo, São Paulo",19 dia(s),Não informado
data scientist,Senior Digital Marketing Manager/ Senior Media Buyer,Client Accelerators,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Senior Data DevOps Engineer,"EPAM Systems, Inc.",Trabalho remoto,mais de 30 dias,Não informado
data scientist,IT Lead Buyer - Software,Capgemini Engineering,"Colombo, Paraná",mais de 30 dias,Não informado
data scientist,Analytic Science — Lead Scientist,FICO,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Engineering Manager - Brazil,MANUAL,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Analytics Engineer,SAP,"São Leopoldo, Rio Grande do Sul",10 dia(s),Não informado
data scientist,Data Scientist,Capgemini,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Hardware Engineer,Halliburton,"Rio de Janeiro, Rio de Janeiro",7 dia(s),Não informado
data scientist,"Sr. Data Engineer (Experience in Databricks, Azure, Data Lakes)",DHL,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Full Stack Developer,Syneos Health Commercial Solutions,"Rio de Janeiro, Rio de Janeiro",6 dia(s),Não informado
data scientist,Senior Research and Development Manager,Inplanet GmbH,"Piracicaba, São Paulo",mais de 30 dias,Não informado
data scientist,Javascript Engineer : Prospect UI Solutions (Remote),Constructor,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Senior AI Engineer,dLocal,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Risk & AI Business Analyst,Feedzai,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Software Engineer II, Backend: Uber for Business",Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Pessoa Cientista de Dados Sênior,Thoughtworks,Porto Alegre,11 dia(s),Não informado
data scientist,Process Mining Consultant,Pantheon Inc.,Curitiba,mais de 30 dias,Não informado
data scientist,MS - Fullstack Engineer (D365) - 146,Thaloz,Trabalho remoto,9 dia(s),Não informado
data scientist,"Professional Services, Professional Services",Amazon AWS Services Brazil Ltd - E07,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,DevOps Engineer,Capgemini Engineering,"Colombo, Paraná",mais de 30 dias,Não informado
data scientist,Sr. Data Engineer - AWS,Fusemachines,Trabalho remoto,11 dia(s),Não informado
data scientist,Mechanical Engineering Intern,Moffatt & Nichol,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,"Consultant, Academia and Government (Fixed-Term)",Clarivate,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Postdoctoral researcher positions focused on the use of advanced AI techniques such as reinforcement learning and large language models for complex system optimi-zation,ETH Zürich,Brasil,18 dia(s),Não informado
data scientist,"Sr. AI/ML Specialist, Professional Services, Professional Services",Amazon AWS Services Brazil Ltd,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Backend Engineer - Predict,Sword Health,Trabalho remoto,mais de 30 dias,Não informado
data scientist,"Senior ML Engineer (NLP, LLM)",CommIT,Amazonas,mais de 30 dias,Não informado
data scientist,"AI/ML Specialist, Professional Services, Professional Services",Amazon AWS Services Brazil Ltd,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Machine Learning Engineer,amaris,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,Credit Risk Expert (Experto/a en Riesgo de Credito) – Remote,Clara,"São Paulo, São Paulo",17 dia(s),Não informado
data scientist,Senior Software Engineer,IQVIA,"São Paulo, São Paulo",25 dia(s),Não informado
data scientist,Principal Advanced Analytics Analyst,Medtronic,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Product Analyst (AI Product),Social Discovery Group,Rio Grande do Sul,mais de 30 dias,Não informado
data scientist,Senior Machine Learning Engineer,Trustly,"Vitória, Espírito Santo",mais de 30 dias,Não informado
data scientist,Geotechnical Engineer – Junior/Mid Level,Moffatt & Nichol,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,Senior Full-Stack Engineer,Avra,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Engineering Manager - Player Experience,Happening,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Sr. AI/ML Specialist, Professional Services, Professional Services",Amazon,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior DevOps and Implementation Engineer,ZeroTrusted.AI,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,"Sr. Special Projects Manager, Customer Experience and Business Trends",Amazon Servicos de Varejo do Brasil Ltda.,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Lead Applied Machine Learning Scientist,Thomson Reuters,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Analista de Dados (Vaga Afirmativa Para Mulheres Negras),DP6,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Machine Learning Engineer,N-iX,"São Paulo, São Paulo",18 dia(s),Não informado
data scientist,SAP HANA Senior Consultant,msg global solutions,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Cloud Developer - BTP Hana Cloud Platform,SAP,"São Leopoldo, Rio Grande do Sul",2 dia(s),Não informado
data scientist,Systems Integration Engineer - Full remote,Capgemini Engineering,"Colombo, Paraná",mais de 30 dias,Não informado
data scientist,Senior/Lead Backend Engineer - Brazil,Deep Origin,Trabalho remoto,16 dia(s),Não informado
data scientist,Sr. Regional Marketing Manager (LATAM),Neo4j,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Grupo QuintoAndar | Tech Lead Manager (AI Core Platform),Grupo QuintoAndar,Trabalho remoto,mais de 30 dias,Não informado
data scientist,Machine Learning Architect,Mindera,Blumenau,mais de 30 dias,Não informado
data scientist,Sr. Technical Program Manager - Financial Products,Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Senior Product Designer,Arcadis,Rio Grande do Sul,mais de 30 dias,Não informado
data scientist,AI Specialist Solutions Architect,"Red Hat, Inc.","São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Sr Machine Learning Engineer,Uber,"São Paulo, São Paulo",mais de 30 dias,Não informado
data scientist,Grupo QuintoAndar | Sr Machine Learning Engineer (Women Applicants Only),Grupo QuintoAndar,Trabalho remoto,17 dia(s),Não informado
data scientist,Pessoa Especialista em Inteligência Artificial - Produtos de IA (Tech Lead),Livelo,Barueri,17 dia(s),Não informado
data scientist,Senior Full Stack Developer JavaScript,AE Studio,"Florianópolis, Santa Catarina",mais de 30 dias,Não informado
data scientist,Cientista de Dados / Híbrido - Rio de Janeiro/RJ,CAPCO,"Rio de Janeiro, Rio de Janeiro",mais de 30 dias,Não informado
data scientist,"Data Engineer, Corporate Data",DoorDash,"São Paulo, São Paulo",18 dia(s),Não informado
data scientist,Senior Analytics Engineer,SAP Group,"São Leopoldo, Rio Grande do Sul",25 dia(s),Não informado
data scientist,Senior ai engineer,Netvagas,Curitiba,11 dia(s),Não informado
data scientist,Senior Program Manager (Gerente Sênior de Programas),Vital Strategies,"São Paulo, São Paulo",mais de 30 dias,Não informado
