busca,titulo,empresa,local,publicado_ha,salario,titulo_tratado,nivel,cidade,estado,remoto,dias_publicado,faixa_dias,regiao,salario_valor,faixa_salarial
engenheiro de dados,Estágio Engenharia,Ctageo Engenharia e Geoprocessamento,"Santo André, São Paulo",mais de 30 dias,R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio engenharia,estagio,Santo André,SP,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estágio em Logística e Dados | Programa de Estágio Natura 2025 (Híbrido),Bettha,Cajamar,19 dia(s),R$ 4 mil - R$ 6 mil (fornecido pela empresa),estagio em logistica e dados | programa de estagio natura 2025 (hibrido),estagio,Cajamar,SP,0.0,19,16 a 30 dias,Sudeste,5000.0,1k a 5k
engenheiro de dados,Analista de PCP,Pollyrubber Indústria S/A,Contagem,6 dia(s),R$ 3 mil - R$ 5 mil (fornecido pela empresa),analista de pcp,não informado,Contagem,MG,0.0,6,6 a 15 dias,Sudeste,4000.0,1k a 5k
engenheiro de dados,Estágio em Gestão e Tecnologia | Programa de Estágio Natura 2025 (Híbrido),Bettha,"São Paulo, São Paulo",19 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em gestao e tecnologia | programa de estagio natura 2025 (hibrido),estagio,São Paulo,SP,0.0,19,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Operador de Sala de Controle,Confidencial,"Manaus, Amazonas",mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa),operador de sala de controle,não informado,Manaus,AM,0.0,31,mais de 30 dias,Norte,3500.0,1k a 5k
engenheiro de dados,Estágio em Engenharia Ambiental e Florestal | Programa de Estágio Natura 2025 (Híbrido),Bettha,Benevides,19 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em engenharia ambiental e florestal | programa de estagio natura 2025 (hibrido),estagio,Benevides,PA,0.0,19,16 a 30 dias,Norte,3000.0,1k a 5k
engenheiro de dados,Orçamentista,Espaço Útil Construção e Manutenção Predial,Porto Alegre,24 dia(s),R$ 2 mil - R$ 3 mil (fornecido pela empresa),orcamentista,não informado,Porto Alegre,RS,0.0,24,16 a 30 dias,Sul,2500.0,1k a 5k
engenheiro de dados,Analista de Desenvolvimento intermediario - PRESENCIAL UBERLÂNDIA,Infinity Brasil Ltda.,Uberlândia,mais de 30 dias,R$ 2 mil - R$ 4 mil (fornecido pela empresa),analista de desenvolvimento intermediario - presencial uberlandia,não informado,Uberlândia,MG,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,"Estágio em Processos, Dados e Auditoria | Programa de Estágio Natura 2025 (Híbrido)",Bettha,"São Paulo, São Paulo",19 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),"estagio em processos, dados e auditoria | programa de estagio natura 2025 (hibrido)",estagio,São Paulo,SP,0.0,19,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Analista Ambiental,Confidencial,São Bernardo do Campo,13 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),analista ambiental,não informado,São Bernardo do Campo,SP,0.0,13,6 a 15 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,ESPECIALISTA DE SUCESSO DO CLIENTE,FINCH,"São Paulo, São Paulo",5 dia(s),R$ 3 mil (fornecido pela empresa),especialista de sucesso do cliente,especialista,São Paulo,SP,0.0,5,1 a 5 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estágio em Finanças – Diversas Áreas | Programa de Estágio Natura 2025 (Híbrido),Bettha,"São Paulo, São Paulo",19 dia(s),R$ 8 mil (fornecido pela empresa),estagio em financas  diversas areas | programa de estagio natura 2025 (hibrido),estagio,São Paulo,SP,0.0,19,16 a 30 dias,Sudeste,8000.0,5k a 10k
engenheiro de dados,Programador Junior,Indaiá,"Itapema, Santa Catarina",21 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),programador junior,junior,Itapema,SC,0.0,21,16 a 30 dias,Sul,3000.0,1k a 5k
engenheiro de dados,Estágio em Engenharia | Programa de Estágio Natura 2025,Bettha,Cajamar,19 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em engenharia | programa de estagio natura 2025,estagio,Cajamar,SP,0.0,19,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estágio em Controle de Qualidade | Givaudan – Botucatu/SP,Bettha,Botucatu,4 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em controle de qualidade | givaudan  botucatu/sp,estagio,Botucatu,SP,0.0,4,1 a 5 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,"Estágio em Big Data, Analytics e AI – Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres",Bettha,"Amparo, São Paulo",25 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),"estagio em big data, analytics e ai  programa de estagio ype 2025 - vaga afirmativa para mulheres",estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Concierge de Franquias,IKLI TECNOLOGIA,Cabedelo,26 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),concierge de franquias,não informado,Cabedelo,PB,0.0,26,16 a 30 dias,Nordeste,3000.0,1k a 5k
engenheiro de dados,Gerente de Operações de E-commerce,FORTES & MONTEIRO IMPORTACAO E COMERCIO LTDA,Curitiba,26 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),gerente de operacoes de e-commerce,gerente,Curitiba,PR,0.0,26,16 a 30 dias,Sul,3000.0,1k a 5k
engenheiro de dados,Agente de prospecção,Slim Vidros,Palhoça,mais de 30 dias,R$ 2 mil - R$ 4 mil (fornecido pela empresa),agente de prospeccao,não informado,Palhoça,SC,0.0,31,mais de 30 dias,Sul,3000.0,1k a 5k
engenheiro de dados,Estágio em PCP | Programa de Estágio Tópico 2025 (Híbrido),Bettha,Embu das Artes,5 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em pcp | programa de estagio topico 2025 (hibrido),estagio,Embu das Artes,,0.0,5,1 a 5 dias,Desconhecido,3000.0,1k a 5k
engenheiro de dados,Estágio em Serviços de TI | Programa de Estágio Ypê 2025 -Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em servicos de ti | programa de estagio ype 2025 -vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estágio em Sustentabilidade | Programa de Estágio Ypê 2025 -Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em sustentabilidade | programa de estagio ype 2025 -vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Analista de PCP,Confidencial,"Campinas, São Paulo",7 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),analista de pcp,não informado,Campinas,SP,0.0,7,6 a 15 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estágio em Produção | Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 2 mil - R$ 4 mil (fornecido pela empresa),estagio em producao | programa de estagio ype 2025 - vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estágio em Inteligência de Mercado | Programa de Estágio Myralis 2025,Bettha,"São Paulo, São Paulo",13 dia(s),R$ 10 mil - R$ 12 mil (fornecido pela empresa),estagio em inteligencia de mercado | programa de estagio myralis 2025,estagio,São Paulo,SP,0.0,13,6 a 15 dias,Sudeste,11000.0,10k a 15k
engenheiro de dados,Engenheiro de dados Jr,SPC Brasil,Trabalho remoto,7 dia(s),R$ 13 mil (fornecido pela empresa),engenheiro de dados jr,junior,,,1.0,7,6 a 15 dias,Desconhecido,13000.0,10k a 15k
engenheiro de dados,Estágio em Engenharia Industrial | Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 2 mil (fornecido pela empresa),estagio em engenharia industrial | programa de estagio ype 2025 - vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,2000.0,1k a 5k
engenheiro de dados,Estágio em Manutenção Corporativa | Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 11 mil (fornecido pela empresa),estagio em manutencao corporativa | programa de estagio ype 2025 - vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,11000.0,10k a 15k
engenheiro de dados,Estágio em Processos Industriais – Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 13 mil - R$ 14 mil (fornecido pela empresa),estagio em processos industriais  programa de estagio ype 2025 - vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,13500.0,10k a 15k
engenheiro de dados,Estágio em Automação e Inovação | Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 2 mil (fornecido pela empresa),estagio em automacao e inovacao | programa de estagio ype 2025 - vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,2000.0,1k a 5k
engenheiro de dados,Estágio em Revenue Management e Inteligência de Mercado | Programa de Estágio Tópico 2025 (Híbrido),Bettha,Embu das Artes,5 dia(s),R$ 10 mil (fornecido pela empresa),estagio em revenue management e inteligencia de mercado | programa de estagio topico 2025 (hibrido),estagio,Embu das Artes,,0.0,5,1 a 5 dias,Desconhecido,10000.0,5k a 10k
engenheiro de dados,Estágio em Compras Indiretas | Programa de Estágio Ypê 2025 - Vaga Afirmativa para Mulheres,Bettha,"Amparo, São Paulo",25 dia(s),R$ 7 mil - R$ 9 mil (fornecido pela empresa),estagio em compras indiretas | programa de estagio ype 2025 - vaga afirmativa para mulheres,estagio,Amparo,SP,0.0,25,16 a 30 dias,Sudeste,8000.0,5k a 10k
engenheiro de dados,Analista Jr CRM,RD Saúde,"São Paulo, São Paulo",24 dia(s),R$ 11 mil - R$ 12 mil (fornecido pela empresa),analista jr crm,junior,São Paulo,SP,0.0,24,16 a 30 dias,Sudeste,11500.0,10k a 15k
engenheiro de dados,Estágio em Vendas/Comercial | Programa de Estágio Ypê 2025 -Vaga Afirmativa para Mulheres,Bettha,"Campinas, São Paulo",25 dia(s),R$ 16 mil (fornecido pela empresa),estagio em vendas/comercial | programa de estagio ype 2025 -vaga afirmativa para mulheres,estagio,Campinas,SP,0.0,25,16 a 30 dias,Sudeste,16000.0,Acima de 15k
engenheiro de dados,Analista Sr Prevenção de Perdas,RD Saúde,"São Paulo, São Paulo",mais de 30 dias,R$ 7 mil (fornecido pela empresa),analista sr prevencao de perdas,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,7000.0,5k a 10k
engenheiro de dados,Analista Sr Planejamento Corporativo,RD Saúde,"São Paulo, São Paulo",27 dia(s),R$ 4 mil (fornecido pela empresa),analista sr planejamento corporativo,pleno,São Paulo,SP,0.0,27,16 a 30 dias,Sudeste,4000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Pleno,Vertigo Tecnologia,,2 dia(s),R$ 2 mil (fornecido pela empresa),engenheiro de dados pleno,pleno,,,0.0,2,1 a 5 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Estágio em Análise de Dados,Petlove,,3 dia(s),R$ 8 mil (fornecido pela empresa),estagio em analise de dados,estagio,,,0.0,3,1 a 5 dias,Desconhecido,8000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados - Pleno,DOT Group,,13 dia(s),R$ 4 mil - R$ 6 mil (fornecido pela empresa),engenheiro de dados - pleno,pleno,,,0.0,13,6 a 15 dias,Desconhecido,5000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Pleno,will bank,,27 dia(s),R$ 8 mil (fornecido pela empresa),engenheiro de dados pleno,pleno,,,0.0,27,16 a 30 dias,Desconhecido,8000.0,5k a 10k
engenheiro de dados,9351464 - ENGENHEIRO DE DADOS JÚNIOR,Quality Digital,,12 dia(s),R$ 11 mil - R$ 16 mil (fornecido pela empresa),9351464 - engenheiro de dados junior,junior,,,0.0,12,6 a 15 dias,Desconhecido,13500.0,10k a 15k
engenheiro de dados,Programa de Estágio Seazone | 2025,Seazone,,5 dia(s),R$ 8 mil - R$ 10 mil (fornecido pela empresa),programa de estagio seazone | 2025,estagio,,,0.0,5,1 a 5 dias,Desconhecido,9000.0,5k a 10k
engenheiro de dados,Engenheiro(a) de Dados - Remoto,MESHA TECNOLOGIA,,6 dia(s),R$ 3 mil (fornecido pela empresa),engenheiro(a) de dados - remoto,não informado,,,0.0,6,6 a 15 dias,Desconhecido,3000.0,1k a 5k
engenheiro de dados,Engenheiro(a) de Dados e BI,Donnes,"São Paulo, São Paulo",14 dia(s),R$ 8 mil - R$ 12 mil (fornecido pela empresa),engenheiro(a) de dados e bi,não informado,São Paulo,SP,0.0,14,6 a 15 dias,Sudeste,10000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados (com foco em BI cross industry) - REMOTO,UpFlux,,20 dia(s),R$ 8 mil (fornecido pela empresa),engenheiro de dados (com foco em bi cross industry) - remoto,não informado,,,0.0,20,16 a 30 dias,Desconhecido,8000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados,Eng4tech,,mais de 30 dias,R$ 2 mil (fornecido pela empresa),engenheiro de dados,não informado,,,0.0,31,mais de 30 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Sênior (Power BI & Looker),Leega Consultoria,,24h,R$ 5 mil (fornecido pela empresa),engenheiro de dados senior (power bi & looker),senior,,,0.0,1,1 a 5 dias,Desconhecido,5000.0,1k a 5k
engenheiro de dados,CAS | Analista de Dados PL (Dados de Canais),Sicredi,,9 dia(s),R$ 10 mil - R$ 12 mil (fornecido pela empresa),cas | analista de dados pl (dados de canais),pleno,,,0.0,9,6 a 15 dias,Desconhecido,11000.0,10k a 15k
engenheiro de dados,Engenheiro de dados jr.,Netvagas,,5 dia(s),R$ 2 mil (fornecido pela empresa),engenheiro de dados jr.,junior,,,0.0,5,1 a 5 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados,LUZA Group,Barueri,24h,R$ 12 mil (fornecido pela empresa),engenheiro de dados,não informado,Barueri,SP,0.0,1,1 a 5 dias,Sudeste,12000.0,10k a 15k
engenheiro de dados,Analista de Dados Jr,+A Educação,,30 dia(s),R$ 10 mil (fornecido pela empresa),analista de dados jr,junior,,,0.0,30,16 a 30 dias,Desconhecido,10000.0,5k a 10k
engenheiro de dados,Analista de Dados Jr.,Nomos - Melhores Investidores,,mais de 30 dias,R$ 8 mil (fornecido pela empresa),analista de dados jr.,junior,,,0.0,31,mais de 30 dias,Desconhecido,8000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados Sênior - 23627,Grupo Taking,,mais de 30 dias,R$ 2 mil (fornecido pela empresa),engenheiro de dados senior - 23627,senior,,,0.0,31,mais de 30 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Estagiário de Governança de Dados,SPC Brasil,,mais de 30 dias,R$ 11 mil - R$ 16 mil (fornecido pela empresa),estagiario de governanca de dados,não informado,,,0.0,31,mais de 30 dias,Desconhecido,13500.0,10k a 15k
engenheiro de dados,9350407 - CIENTISTA DE DADOS JR,Quality Digital,,11 dia(s),R$ 4 mil - R$ 7 mil (fornecido pela empresa),9350407 - cientista de dados jr,junior,,,0.0,11,6 a 15 dias,Desconhecido,5500.0,5k a 10k
engenheiro de dados,Engenheiro(a) de Dados Pleno | Data Solutions,Americanas S.A.,,mais de 30 dias,R$ 4 mil (fornecido pela empresa),engenheiro(a) de dados pleno | data solutions,pleno,,,0.0,31,mais de 30 dias,Desconhecido,4000.0,1k a 5k
engenheiro de dados,Operador de Sala de Controle,Confidencial,"Manaus, Amazonas",mais de 30 dias,R$ 3 mil (fornecido pela empresa),operador de sala de controle,não informado,Manaus,AM,0.0,31,mais de 30 dias,Norte,3000.0,1k a 5k
engenheiro de dados,Profissional Engenheiro de Dados de IA Pleno - Remoto,Luby,Trabalho remoto,19 dia(s),R$ 8 mil (fornecido pela empresa),profissional engenheiro de dados de ia pleno - remoto,pleno,,,1.0,19,16 a 30 dias,Desconhecido,8000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados,Lumini IT Solutions,Trabalho remoto,mais de 30 dias,R$ 5 mil - R$ 6 mil (fornecido pela empresa),engenheiro de dados,não informado,,,1.0,31,mais de 30 dias,Desconhecido,5500.0,5k a 10k
engenheiro de dados,Engenheiro(a) de Dados Pleno(a),BIX Tecnologia - Consultoria de Dados,Trabalho remoto,mais de 30 dias,R$ 9 mil (fornecido pela empresa),engenheiro(a) de dados pleno(a),pleno,,,1.0,31,mais de 30 dias,Desconhecido,9000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados I - TI Corporativa | Grupo Autoglass,Grupo Autoglass Tech,Trabalho remoto,5 dia(s),R$ 16 mil - R$ 19 mil (fornecido pela empresa),engenheiro de dados i - ti corporativa | grupo autoglass,não informado,,,1.0,5,1 a 5 dias,Desconhecido,17500.0,Acima de 15k
engenheiro de dados,Engenheiro de Dados,Lima Consulting Group,Trabalho remoto,mais de 30 dias,R$ 2 mil (fornecido pela empresa),engenheiro de dados,não informado,,,1.0,31,mais de 30 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Sênior,Datum,Trabalho remoto,mais de 30 dias,R$ 3 mil - R$ 4 mil (fornecido pela empresa),engenheiro de dados senior,senior,,,1.0,31,mais de 30 dias,Desconhecido,3500.0,1k a 5k
engenheiro de dados,Analista de Dados,AllEasy,Trabalho remoto,mais de 30 dias,R$ 5 mil (fornecido pela empresa),analista de dados,não informado,,,1.0,31,mais de 30 dias,Desconhecido,5000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados – Databricks & PySpark,inventCloud,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil - R$ 5 mil (fornecido pela empresa),engenheiro de dados  databricks & pyspark,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,4500.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Sênior,"Minerva Foods Tecnologia – Inovação que conecta, tecnologia que transforma.",Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa),engenheiro de dados senior,senior,,,1.0,31,mais de 30 dias,Desconhecido,4000.0,1k a 5k
engenheiro de dados,Engenheiro de Monitoramento Remoto e Diagnóstico,MW INSPEÇÃO DE QUALIDADE,"Sumaré, São Paulo",27 dia(s),R$ 4 mil (fornecido pela empresa),engenheiro de monitoramento remoto e diagnostico,não informado,Sumaré,SP,0.0,27,16 a 30 dias,Sudeste,4000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados | Remoto,CAPCO,"São Paulo, São Paulo",mais de 30 dias,R$ 8 mil (fornecido pela empresa),engenheiro de dados | remoto,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,8000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados (Remoto),IXC Soft - Sistema de Gerenciamento para Provedores,Trabalho remoto,mais de 30 dias,R$ 3 mil - R$ 7 mil (fornecido pela empresa),engenheiro de dados (remoto),não informado,,,1.0,31,mais de 30 dias,Desconhecido,5000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Pleno,EY,"São Paulo, São Paulo",22 dia(s),R$ 6 mil (fornecido pela empresa),engenheiro de dados pleno,pleno,São Paulo,SP,0.0,22,16 a 30 dias,Sudeste,6000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados,MIRANTE TECNOLOGIA,"Brasília, Distrito Federal",27 dia(s),R$ 4 mil (fornecido pela empresa),engenheiro de dados,não informado,Brasília,DF,0.0,27,16 a 30 dias,Centro-Oeste,4000.0,1k a 5k
engenheiro de dados,Cientista de Dados Sênior,Neogrid Carreiras,Trabalho remoto,4 dia(s),R$ 7 mil (fornecido pela empresa),cientista de dados senior,senior,,,1.0,4,1 a 5 dias,Desconhecido,7000.0,5k a 10k
engenheiro de dados,Estágio em Análise de Dados,Midea Carrier,"São Paulo, São Paulo",5 dia(s),R$ 8 mil - R$ 10 mil (fornecido pela empresa),estagio em analise de dados,estagio,São Paulo,SP,0.0,5,1 a 5 dias,Sudeste,9000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados Sênior,Minha Biblioteca,Trabalho remoto,7 dia(s),R$ 6 mil (fornecido pela empresa),engenheiro de dados senior,senior,,,1.0,7,6 a 15 dias,Desconhecido,6000.0,5k a 10k
engenheiro de dados,Pessoa Especialista - Engenheiro de dados II,Lojas Renner,Trabalho remoto,24 dia(s),R$ 2 mil (fornecido pela empresa),pessoa especialista - engenheiro de dados ii,especialista,,,1.0,24,16 a 30 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,[Ambev Tech] Pessoa Engenheira de Dados,Ambev Tech,Trabalho remoto,mais de 30 dias,R$ 4 mil (fornecido pela empresa),[ambev tech] pessoa engenheira de dados,não informado,,,1.0,31,mais de 30 dias,Desconhecido,4000.0,1k a 5k
engenheiro de dados,Engenheiro / Cientista de Dados (Trainee),Holos Media,"Pinheiros, São Paulo",mais de 30 dias,R$ 2 mil (fornecido pela empresa),engenheiro / cientista de dados (trainee),não informado,Pinheiros,SP,0.0,31,mais de 30 dias,Sudeste,2000.0,1k a 5k
engenheiro de dados,Pessoa Estagiária de Automação de Processos e Dados,CapLink,Trabalho remoto,13 dia(s),R$ 2 mil (fornecido pela empresa),pessoa estagiaria de automacao de processos e dados,não informado,,,1.0,13,6 a 15 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Sênior,mazzatech,Trabalho remoto,4 dia(s),R$ 6 mil - R$ 8 mil (fornecido pela empresa),engenheiro de dados senior,senior,,,1.0,4,1 a 5 dias,Desconhecido,7000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados II,Bunge,"São Paulo, São Paulo",4 dia(s),R$ 1 mil (fornecido pela empresa),engenheiro de dados ii,não informado,São Paulo,SP,0.0,4,1 a 5 dias,Sudeste,1000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados JR,TOPMIND,"São Paulo, São Paulo",mais de 30 dias,R$ 5 mil (fornecido pela empresa),engenheiro de dados jr,junior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,5000.0,1k a 5k
engenheiro de dados,Engenheiro(a) de Dados (Sênior),Solutis,Trabalho remoto,mais de 30 dias,R$ 7 mil - R$ 9 mil (fornecido pela empresa),engenheiro(a) de dados (senior),senior,,,1.0,31,mais de 30 dias,Desconhecido,8000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados - PowerCenter,4Solution Group,"São Paulo, São Paulo",mais de 30 dias,R$ 4 mil - R$ 5 mil (fornecido pela empresa),engenheiro de dados - powercenter,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,4500.0,1k a 5k
engenheiro de dados,Engenheiro(a) de Dados - Sênior,EloGroup,Trabalho remoto,mais de 30 dias,R$ 3 mil (fornecido pela empresa),engenheiro(a) de dados - senior,senior,,,1.0,31,mais de 30 dias,Desconhecido,3000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados - Mogi das Cruzes,Winover,Mogi das Cruzes,mais de 30 dias,R$ 10 mil (fornecido pela empresa),engenheiro de dados - mogi das cruzes,não informado,Mogi das Cruzes,SP,0.0,31,mais de 30 dias,Sudeste,10000.0,5k a 10k
engenheiro de dados,Engenheiro de Dados Sênior,VOLL,Trabalho remoto,mais de 30 dias,R$ 6 mil (fornecido pela empresa),engenheiro de dados senior,senior,,,1.0,31,mais de 30 dias,Desconhecido,6000.0,5k a 10k
engenheiro de dados,Engenheiro(a) de Dados Pleno - Tribo Martech,Magazine Luiza,Trabalho remoto,14 dia(s),R$ 30 mil (fornecido pela empresa),engenheiro(a) de dados pleno - tribo martech,pleno,,,1.0,14,6 a 15 dias,Desconhecido,30000.0,Acima de 15k
engenheiro de dados,PESSOA COORDENADORA CIÊNCIAS DE DADOS E INTELIGÊNCIA ARTIFICIAL,Bradesco Seguros,"São Paulo, São Paulo",4 dia(s),R$ 1 mil (fornecido pela empresa),pessoa coordenadora ciencias de dados e inteligencia artificial,coordenador,São Paulo,SP,0.0,4,1 a 5 dias,Sudeste,1000.0,1k a 5k
engenheiro de dados,Engenheiro de Software - Mobile,Brasil Paralelo,Trabalho remoto,23 dia(s),R$ 4 mil (fornecido pela empresa),engenheiro de software - mobile,não informado,,,1.0,23,16 a 30 dias,Desconhecido,4000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados Sênior,Natura,"São Paulo, São Paulo",mais de 30 dias,R$ 9 mil (fornecido pela empresa),engenheiro de dados senior,senior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,9000.0,5k a 10k
engenheiro de dados,Engenheiro de Ciência de Dados,TECSERVICE LTDA,Macaé,3 dia(s),R$ 2 mil - R$ 3 mil (fornecido pela empresa),engenheiro de ciencia de dados,não informado,Macaé,RJ,0.0,3,1 a 5 dias,Sudeste,2500.0,1k a 5k
engenheiro de dados,Analista de Dados Pleno,Paciente 360,Trabalho remoto,3 dia(s),R$ 2 mil (fornecido pela empresa),analista de dados pleno,pleno,,,1.0,3,1 a 5 dias,Desconhecido,2000.0,1k a 5k
engenheiro de dados,Especialista de Dados II,Meta,Trabalho remoto,mais de 30 dias,R$ 3 mil (fornecido pela empresa),especialista de dados ii,especialista,,,1.0,31,mais de 30 dias,Desconhecido,3000.0,1k a 5k
engenheiro de dados,Cientista de Dados Júnior,GOL Linhas Aéreas,"São Paulo, São Paulo",mais de 30 dias,R$ 2 mil - R$ 4 mil (fornecido pela empresa),cientista de dados junior,junior,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,3000.0,1k a 5k
engenheiro de dados,Estagiário de Ciência de Dados,SYOS,"São Paulo, São Paulo",mais de 30 dias,R$ 12 mil (fornecido pela empresa),estagiario de ciencia de dados,não informado,São Paulo,SP,0.0,31,mais de 30 dias,Sudeste,12000.0,10k a 15k
engenheiro de dados,Híbrida - ENGENHEIRO DE DADOS JÚNIOR - Parque Industrial Araucária,Jobbol,Arapongas,mais de 30 dias,R$ 9 mil (fornecido pela empresa),hibrida - engenheiro de dados junior - parque industrial araucaria,junior,Arapongas,PR,0.0,31,mais de 30 dias,Sul,9000.0,5k a 10k
engenheiro de dados,Engenheiro de Planejamento e Governança de Contratos,FATIMA SANTANA CONSULTORES EIRELLI,"São Pedro, São Paulo",14 dia(s),R$ 2 mil - R$ 7 mil (fornecido pela empresa),engenheiro de planejamento e governanca de contratos,pleno,São Pedro,SP,0.0,14,6 a 15 dias,Sudeste,4500.0,1k a 5k
engenheiro de dados,V360 - Estagiário de Suporte,V360,Trabalho remoto,mais de 30 dias,R$ 3 mil (fornecido pela empresa),v360 - estagiario de suporte,não informado,,,1.0,31,mais de 30 dias,Desconhecido,3000.0,1k a 5k
engenheiro de dados,Engenheiro de Dados,TotalPass,"São Paulo, São Paulo",11 dia(s),R$ 10 mil (fornecido pela empresa),engenheiro de dados,não informado,São Paulo,SP,0.0,11,6 a 15 dias,Sudeste,10000.0,5k a 10k
